,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
7899,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DA REGIÃO METROPOLITANA DE JOÃO PESSOA, LITORAL  PARAIBANO E  DOS SERVIDORES PÚBLICOS ESTADUAIS DA PARAÍBA - SICOOB UNIÃO PARAIBANA",3373150.0,b3S,I,2.0,JOAO PESSOA,PB,06/2018,Não,Sim,Sim,30.116,NI,01/2017,S5,
7900,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EMPRESA SUPERMERCADOS JAU SERVE - COOPERJS,3400651.0,b3S,I,2.0,JAU,SP,06/2018,Não,Sim,Sim,2.326,NI,01/2017,S5,
7901,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ITURAMA LTDA. - SICOOB CREDIRAMA,3412878.0,b3S,I,2.0,ITURAMA,MG,06/2018,Não,Sim,Sim,134.068,NI,01/2017,S5,
7902,COOPERATIVA DE CRÉDITO NOSSA SENHORA DO DESTERRO - SICOOB CREDISC,3419786.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,112.014,NI,01/2017,S5,
7903,COOPERATIVA DE CRÉDITO DOS BANCÁRIOS DE SÃO PAULO E MUNICÍPIOS LIMÍTROFES,3422007.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,9.158,NI,01/2017,S5,
7904,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA,3427097.0,b3S,I,2.0,CRICIUMA,SC,06/2018,Não,Sim,Sim,53.380,NI,01/2017,S5,
7905,SICREDI CREDUNI - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERV DAS INST PÚBLICAS DE ENSINO SUPERIOR DO ESTADO DA PARAÍBA E DAS DEMAIS INSTITUIÇÕES E ÓRGÃOS PÚBLICOS NO ESTADO DA PARAIBA LTDA.,3428338.0,b3S,I,2.0,CAMPINA GRANDE,PB,06/2018,Não,Sim,Sim,221.888,NI,01/2017,S5,
7906,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER JUDICIÁRIO DO RIO GRANDE DO SUL - SICOOB JUSTIÇA,3453295.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,23.967,NI,01/2017,S5,
7907,COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO,3459850.0,b3S,I,2.0,MARINGA,PR,06/2018,Não,Sim,Sim,1.232.769,NI,01/2017,S5,
7908,COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP,3461243.0,b3S,I,2.0,JOINVILLE,SC,06/2018,Não,Sim,Sim,121.289,NI,01/2017,S5,
7909,COOPERATIVA DE ECONOMIA E CREDITO COM INTERACAO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL - CRESOL ENCOSTAS DA SERRA GERAL,3485130.0,b3S,I,2.0,SANTA ROSA DE LIMA,SC,06/2018,Não,Sim,Sim,74.089,NI,01/2017,S5,
7910,COOPERATIVA DE CRÉDITO CAPITAL FORTE - SICOOB CREDIFORTE,3497143.0,b3S,I,2.0,PORTO VELHO,RO,06/2018,Não,Sim,Sim,52.975,NI,01/2017,S5,
7911,COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO PODER JUDICIÁRIO E DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB JUS-MP,3519240.0,b3S,I,2.0,BELO HORIZONTE,MG,06/2018,Não,Sim,Sim,195.831,NI,01/2017,S5,
7912,COOPERATIVA DE CRÉDITO E INVESTIMENTOS DO ACRE - SICOOB ACRE,3528402.0,b3S,I,2.0,RIO BRANCO,AC,06/2018,Não,Sim,Sim,32.920,NI,01/2017,S5,
7913,COOPERATIVA DE CRÉDITO ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS METALÚRGICAS DE OSASCO E REGIÃO – SICOOB CREDMETAL,3535065.0,b3S,I,2.0,OSASCO,SP,06/2018,Não,Sim,Sim,14.754,NI,01/2017,S5,
7914,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO DE RIBEIRÃO PRETO - MEDCRED DE RIBEIRÃO PRETO,3575699.0,b3S,I,2.0,RIBEIRAO PRETO,SP,06/2018,Não,Sim,Sim,35.528,NI,01/2017,S5,
7915,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE ESTADO DE FAZENDA DO DISTRITO FEDERAL - SICOOB CREDSEF,3603683.0,b3S,I,2.0,BRASILIA,DF,06/2018,Não,Sim,Sim,37.869,NI,01/2017,S5,
7916,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA (UESB) - CREDIUESB,3606488.0,b3S,I,2.0,VITORIA DA CONQUISTA,BA,06/2018,Não,Sim,Sim,2.327,NI,01/2017,S5,
7917,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE SÃO BERNARDO DO CAMPO - CREDIABC,3612679.0,b3S,I,2.0,SAO BERNARDO DO CAMPO,SP,06/2018,Não,Sim,Sim,33.007,NI,01/2017,S5,
7918,COOPERATIVA DE CREDITO DO CENTRO LESTE DE RONDÔNIA LTDA - CREDISIS LESTE,3612764.0,b3S,I,2.0,CACOAL,RO,06/2018,Não,Sim,Sim,110.699,NI,01/2017,S5,
7919,COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS E SERVIDORES DA UNIÃO NO CEARÁ E LIVRE ADMISSÃO NAS MESORREGIÕES METROPOLITANA DE FORTALEZA E SUL CEARENSE - SICOOB CEARÁ,3620772.0,b3S,I,2.0,FORTALEZA,CE,06/2018,Não,Sim,Sim,41.195,NI,01/2017,S5,
7920,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.,3632872.0,b3S,I,2.0,VILHENA,RO,06/2018,Não,Sim,Sim,1.077.072,NI,01/2017,S5,
7921,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO FEDERAL NO ESTADO DO ESPÍRITO SANTO - COOPSEFES,3639902.0,b3S,I,2.0,VITORIA,ES,06/2018,Não,Sim,Sim,16.134,NI,01/2017,S5,
7922,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO PARANAÍBA LTDA - SICOOB CREDISG,3645752.0,b3S,I,2.0,SAO GOTARDO,MG,06/2018,Não,Sim,Sim,283.148,NI,01/2017,S5,
7923,COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DO GRUPO PPG,3657230.0,b3S,I,2.0,SUMARE,SP,06/2018,Não,Sim,Sim,2.104,NI,01/2017,S5,
7924,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS INTEGRANTES DO MINISTERIO PUBLICO DO RIO GRANDE DO SUL - SICREDI MP,3662047.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,48.866,NI,01/2017,S5,
7925,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM INSTITUIÇÕES DO SISTEMA FINANCEIRO NAS REGIÕES DE SÃO PAULO E CAMPINAS (SP) - CREDISCOOP,3674133.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,5.672,NI,01/2017,S5,
7926,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA UNIFI - CREDIUNIFI,3685335.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,1.406,NI,01/2017,S5,
7927,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO GOIANO LTDA.,3730508.0,b3S,I,2.0,GOIANIA,GO,06/2018,Não,Sim,Sim,297.303,NI,01/2017,S5,
7928,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO,3732359.0,b3S,I,2.0,SAO JOSE DO EGITO,PE,06/2018,Não,Sim,Sim,142.477,NI,01/2017,S5,
7929,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS JUÍZES DO ESTADO DO RIO GRANDE DO SUL - SICREDI AJURIS RS",3750034.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,178.951,NI,01/2017,S5,
7930,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE VITORIA - CREDESTIVA.,3844699.0,b3S,I,2.0,VITORIA,ES,06/2018,Não,Sim,Sim,15.441,NI,01/2017,S5,
7931,COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPREGADOS DOS CORREIOS LTDA. - SICOOB COOPERCORREIOS,3862898.0,b3S,I,2.0,BELO HORIZONTE,MG,06/2018,Não,Sim,Sim,52.653,NI,01/2017,S5,
7932,COOPERATIVA DE CRÉDITO RURAL ASCOOB ITAPICURU,3921543.0,b3S,I,2.0,SANTALUZ,BA,06/2018,Não,Sim,Sim,34.189,NI,01/2017,S5,
7933,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SECURITARIOS, DOS CORRETORES DE SEGUROS E DE CAPITALIZACAO DO RIO DE JANEIRO LTDA.",3930587.0,b3S,I,2.0,RIO DE JANEIRO,RJ,06/2018,Não,Sim,Sim,21.148,NI,01/2017,S5,
7934,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS,3941182.0,b3S,I,2.0,MONTE SIAO,MG,06/2018,Não,Sim,Sim,33.390,NI,01/2017,S5,
7935,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA OESTE CATARINENSE - CRESOL OESTE CATARINENSE,3965737.0,b3S,I,2.0,XAXIM,SC,06/2018,Não,Sim,Sim,154.275,NI,01/2017,S5,
7936,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS IND.ALIMENTACAO REG.GRDE.VITORIA EST.ES-CREDI-ALIMENTO,3973743.0,b3S,I,2.0,VITORIA,ES,06/2018,Não,Sim,Sim,427,NI,01/2017,S5,
7937,SERVICOOP - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRANDE DO SUL EM PORTO ALEGRE E GRANDE PORTO ALEGRE.,3973814.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,35.887,NI,01/2017,S5,
7938,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE RONDONIENSE LTDA. - CREDISIS ROLIMCREDI,3985375.0,b3S,I,2.0,ROLIM DE MOURA,RO,06/2018,Não,Sim,Sim,40.321,NI,01/2017,S5,
7939,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS MUNICIPAIS DE PORTO ALEGRE,3990888.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,3.638,NI,01/2017,S5,
7940,COOPERATIVA DE CRÉDITO DE FRANCA E REGIÃO - SICOOB CRED-ACIF,4013172.0,b3S,I,2.0,FRANCA,SP,06/2018,Não,Sim,Sim,143.525,NI,01/2017,S5,
7941,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAJUBÁ LTDA - SICOOB SUL DE MINAS,4079285.0,b3S,I,2.0,ITAJUBA,MG,06/2018,Não,Sim,Sim,65.783,NI,01/2017,S5,
7942,COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ,4120633.0,b3S,I,2.0,RIO DE JANEIRO,RJ,06/2018,Não,Sim,Sim,68.011,NI,01/2017,S5,
7943,SICREDI CREDSUPER - COOPERATIVA DE CRÉDITO SICREDI CREDSUPER,4138455.0,b3S,I,2.0,NATAL,RN,06/2018,Não,Sim,Sim,152.727,NI,01/2017,S5,
7944,"SICREDI PERNAMBUCRED - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS DOS PODERES EXECUTIVO, LEGISLATIVO, JUDICIÁRIO E DO MINISTÉRIO PÚBLICO EM PERNAMBUCO",4146333.0,b3S,I,2.0,RECIFE,PE,06/2018,Não,Sim,Sim,295.174,NI,01/2017,S5,
7945,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO DA REGIÃO CENTRO-OESTE PAULISTA - CREDMIL,4152107.0,b3S,I,2.0,BAURU,SP,06/2018,Não,Sim,Sim,2.355,NI,01/2017,S5,
7946,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS BANCÁRIOS DE JUIZ DE FORA LTDA. - COCBAN,4158581.0,b3S,I,2.0,JUIZ DE FORA,MG,06/2018,Não,Sim,Sim,530,NI,01/2017,S5,
7947,COOPERATIVA DE CRÉDITO DE MAIRI LTDA. – SICOOB COOPEMAR,4174720.0,b3S,I,2.0,MAIRI,BA,06/2018,Não,Sim,Sim,54.595,NI,01/2017,S5,
7948,"SICREDI JURISCRED - COOPERATIVA DE CRÉDITO DOS MEMBROS DO PODER JUDICIÁRIO, DO MINISTÉRIO PÚBLICO, DA ADVOCACIA, DE ÓRGÃOS JURÍDICOS E DE SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAIS EM ALAGOAS",4179861.0,b3S,I,2.0,MACEIO,AL,06/2018,Não,Sim,Sim,138.661,NI,01/2017,S5,
7949,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT,4181542.0,b3S,I,2.0,PITANGUI,MG,06/2018,Não,Sim,Sim,87.726,NI,01/2017,S5,
7950,"COOPERATIVA DE CREDITO MUTUO DOS SERVIDORES PÚBLICOS ESTADUAIS CIVIS,MILITARES E PENSIONISTAS EM ARARAQUARA E REGIÃO, SERVIDORES E MAGISTRADOS  JUDICIÁRIO FEDERAL NO ESTADO DE SÃO PAULO-SICOOB COOPARA",4219215.0,b3S,I,2.0,ARARAQUARA,SP,06/2018,Não,Sim,Sim,17.349,NI,01/2017,S5,
7951,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO VALE DO PIQUIRI - CRESOL VALE DO PIQUIRI,4232022.0,b3S,I,2.0,GUARANIACU,PR,06/2018,Não,Sim,Sim,51.235,NI,01/2017,S5,
7952,COOPERATIVA DE CRÉDITO DO VALE DO SÃO FRANCISCO - SICREDI VALE DO SÃO FRANCISCO,4237413.0,b3S,I,2.0,PETROLINA,PE,06/2018,Não,Sim,Sim,92.208,NI,01/2017,S5,
7953,COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI,4247370.0,b3S,I,2.0,CONCORDIA,SC,06/2018,Não,Sim,Sim,485.111,NI,01/2017,S5,
7954,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA TEKSID DO BRASIL LTDA., E NEMAK ALUMÍNIO DO BRASIL LTDA.",4249235.0,b3S,I,2.0,BETIM,MG,06/2018,Não,Sim,Sim,16.423,NI,01/2017,S5,
7955,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE DONA EMMA - CRESOL DONA EMMA,4261151.0,b3S,I,2.0,DONA EMMA,SC,06/2018,Não,Sim,Sim,70.604,NI,01/2017,S5,
7956,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE TRES BARRAS DO PARANA - CRESOL TRES BARRAS DO PARANA,4273001.0,b3S,I,2.0,TRES BARRAS DO PARANA,PR,06/2018,Não,Sim,Sim,99.215,NI,01/2017,S5,
7957,COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO,4281182.0,b3S,I,2.0,CHAPECO,SC,06/2018,Não,Sim,Sim,47.336,NI,01/2017,S5,
7958,COOPERATIVA DE CRÉDITO E INVESTIMENTO SICOOB INDEPENDÊNCIA - SICOOB INDEPENDÊNCIA,4306351.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,28.346,NI,01/2017,S5,
7959,COOPERATIVA DE CRÉDITO RURAL SENHOR DO BONFIM LTDA. - SICOOB BONFIM,4317316.0,b3S,I,2.0,SENHOR DO BONFIM,BA,06/2018,Não,Sim,Sim,7.951,NI,01/2017,S5,
7960,COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS NO ESTADO DA BAHIA LTDA. - SICOOB CRED EXECUTIVO,4321309.0,b3S,I,2.0,SALVADOR,BA,06/2018,Não,Sim,Sim,78.111,NI,01/2017,S5,
7961,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE RENASCENÇA - CRESOL RENASCENÇA,4350225.0,b3S,I,2.0,RENASCENCA,PR,06/2018,Não,Sim,Sim,297.214,NI,01/2017,S5,
7962,COOPERATIVA DE CRÉDITO UNICRED COOMARCA LTDA. - COOMARCA,4355489.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,186.851,NI,01/2017,S5,
7963,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA,4388688.0,b3S,I,2.0,GOIANIA,GO,06/2018,Não,Sim,Sim,573.413,NI,01/2017,S5,
7964,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DO ESTADO DE GOIÁS LTDA,4406371.0,b3S,I,2.0,GOIANIA,GO,06/2018,Não,Sim,Sim,74.393,NI,01/2017,S5,
7965,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO ABC - COOPER 7,4414354.0,b3S,I,2.0,SAO BERNARDO DO CAMPO,SP,06/2018,Não,Sim,Sim,10.852,NI,01/2017,S5,
7966,UNICRED REGIONAL NORTE LAGOS - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO REGIONAL NORTE LAGOS LTDA,4445917.0,b3S,I,2.0,CAMPOS DOS GOYTACAZES,RJ,06/2018,Não,Sim,Sim,79.893,NI,01/2017,S5,
7967,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO CENTRO OESTE PAULISTA - SICREDI CENTRO OESTE PAULISTA",4463602.0,b3S,I,2.0,MARILIA,SP,06/2018,Não,Sim,Sim,344.373,NI,01/2017,S5,
7968,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DA COOPER STANDARD AUTOMOTIVE BRASIL SEALING LTDA. E FLUID SYSTEMS LTDA.,4464352.0,b3S,I,2.0,VARGINHA,MG,06/2018,Não,Sim,Sim,665,NI,01/2017,S5,
7969,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MEMBROS DO MINISTÉRIO PÚBLICO DE SÃO PAULO - PROMOCRED,4478231.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,14.784,NI,01/2017,S5,
7970,COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP,4484490.0,b3S,I,2.0,BIRIGUI,SP,06/2018,Não,Sim,Sim,136.462,NI,01/2017,S5,
7971,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ESTRADA DE FERRO - CRESOL ESTRADA DE FERRO,4490531.0,b3S,I,2.0,ORIZONA,GO,06/2018,Não,Sim,Sim,44.927,NI,01/2017,S5,
7972,COOPERATIVA DE CRÉDITO MÚTUO DOS PROFESSORES E FUNCIONÁRIOS DA UNIVERSIDADE DE CAXIAS DO SUL - SICREDI COOPERUCS,4525997.0,b3S,I,2.0,CAXIAS DO SUL,RS,06/2018,Não,Sim,Sim,25.253,NI,01/2017,S5,
7973,COOPERATIVA DE CRÉDITO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL,4529074.0,b3S,I,2.0,CASCAVEL,PR,06/2018,Não,Sim,Sim,481.772,NI,01/2017,S5,
7974,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE MADEIRA-MAMORÉ - SICOOB PORTOCREDI,4544165.0,b3S,I,2.0,PORTO VELHO,RO,06/2018,Não,Sim,Sim,195.410,NI,01/2017,S5,
7975,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CREDIFISCO,4546162.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,11.750,NI,01/2017,S5,
7976,COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ARATIBA — CRESOL ARATIBA,4565791.0,b3S,I,2.0,ARATIBA,RS,06/2018,Não,Sim,Sim,66.237,NI,01/2017,S5,
7977,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MILITARES ESTADUAIS DE SANTA CATARINA - CREDPOM,4572960.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,47.786,NI,01/2017,S5,
7978,COOPERATIVA DE CRÉDITO RURAL ASCOOB PARAGUASSU,4588258.0,b3S,I,2.0,GOVERNADOR MANGABEIRA,BA,06/2018,Não,Sim,Sim,3.676,NI,01/2017,S5,
7979,CREDJUST - COOPERATIVA DE CRÉDITO MÚTUO DOS INTEGRANTES DA JUSTIÇA DO TRABALHO DA 13ª REGIÃO LTDA.,4608925.0,b3S,I,2.0,JOAO PESSOA,PB,06/2018,Não,Sim,Sim,8.385,NI,01/2017,S5,
7980,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TENENTE PORTELA - CRESOL TENENTE PORTELA,4622657.0,b3S,I,2.0,TENENTE PORTELA,RS,06/2018,Não,Sim,Sim,106.959,NI,01/2017,S5,
7981,COOPERATIVA DE CRÉDITO DOS MILITARES E DA SEGURANÇA PÚBLICA NO DISTRITO FEDERAL LTDA. - SICOOB DFMIL,4649337.0,b3S,I,2.0,BRASILIA,DF,06/2018,Não,Sim,Sim,36.032,NI,01/2017,S5,
7982,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA VALE DAS ÁGUAS - CRESOL VALE DAS ÁGUAS,4663561.0,b3S,I,2.0,VIRMOND,PR,06/2018,Não,Sim,Sim,135.510,NI,01/2017,S5,
7983,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DO MINISTÉRIO PÚBLICO E DA DEFENSORIA PÚBLICA NO ESTADO DO RIO DE JANEIRO LIMITADA. - SICOOB COMPERJ,4694278.0,b3S,I,2.0,RIO DE JANEIRO,RJ,06/2018,Não,Sim,Sim,289.958,NI,01/2017,S5,
7984,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN,4715685.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,50.496,NI,01/2017,S5,
7985,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DAS CARREIRAS JURÍDICAS E DOS SERVENTUÁRIOS DE ÓRGÃOS DA JUSTIÇA E AFINS, NO ESTADO DE RONDÔNIA   SICOOB CREDJURD",4751713.0,b3S,I,2.0,PORTO VELHO,RO,06/2018,Não,Sim,Sim,70.849,NI,01/2017,S5,
7986,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE SÃO PAULO - COOPERALESP,4791645.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,16.567,NI,01/2017,S5,
7987,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA SEGURANÇA PÚBLICA DE SÃO PAULO - CREDIAFAM,4804353.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,7.744,NI,01/2017,S5,
7988,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRESERV-PINHÃO,4831810.0,b3S,I,2.0,PINHAO,PR,06/2018,Não,Sim,Sim,13.616,NI,01/2017,S5,
7989,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS METALÚRGICOS DA GRANDE SÃO PAULO - SICOOB METALCRED,4833655.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,34.657,NI,01/2017,S5,
7990,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BANDEIRANTES – SICREDI BANDEIRANTES SP",4853988.0,b3S,I,2.0,SAO CARLOS,SP,06/2018,Não,Sim,Sim,23.853,NI,01/2017,S5,
7991,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS,4876393.0,b3S,I,2.0,FOZ DO IGUACU,PR,06/2018,Não,Sim,Sim,187.199,NI,01/2017,S5,
7992,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS INTEGRANTES DA MAGISTRATURA E DO MINISTÉRIO PÚBLICO NO ESTADO DO PARANÁ - SICREDI CREDJURIS",4886317.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,123.517,NI,01/2017,S5,
7993,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA JUSTIÇA DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CREDJUS,4894460.0,b3S,I,2.0,BELO HORIZONTE,MG,06/2018,Não,Sim,Sim,49.783,NI,01/2017,S5,
7994,CREDEXTRA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA REALMAR DISTRIBUIDORA LTDA,4899135.0,b3S,I,2.0,SERRA,ES,06/2018,Não,Sim,Sim,3.103,NI,01/2017,S5,
7995,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ITAPEJARA D`OESTE - CRESOL ITAPEJARA D`OESTE,4973378.0,b3S,I,2.0,ITAPEJARA D'OESTE,PR,06/2018,Não,Sim,Sim,91.744,NI,01/2017,S5,
7996,COOPERATIVA DE CRÉDITO E INVESTIMENTO DO OESTE - CREDISIS OESTE,4985665.0,b3S,I,2.0,ESPIGAO D'OESTE,RO,06/2018,Não,Sim,Sim,18.971,NI,01/2017,S5,
7997,COOPESTADO - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NA REGIÃO METROPOLITANA DO ESTADO DO RIO DE JANEIRO LIMITADA,4995006.0,b3S,I,2.0,RIO DE JANEIRO,RJ,06/2018,Não,Sim,Sim,4.368,NI,01/2017,S5,
